gene,module
A1BG,Hepatomegaly
A1BG,Schizophrenia
A2M,Alzheimer's Disease
A2M,Malignant tumor of colon
A2M,Colonic Neoplasms
A2M,Presenile dementia
A2M,Mental Depression
A2M,Depressive disorder
A2M,Hepatolenticular Degeneration
A2M,"Kidney Failure, Acute"
A2M,Liver Cirrhosis
A2M,"Liver Cirrhosis, Experimental"
A2M,Lung diseases
A2M,Lung Neoplasms
A2M,Nephrotic Syndrome
A2M,Hepatocellular Adenoma
A2M,"Fibrosis, Liver"
A2M,Malignant neoplasm of lung
A2M,Familial Alzheimer Disease (FAD)
A2M,"Alzheimer Disease, Late Onset"
A2M,Acute Confusional Senile Dementia
A2M,"Alzheimer's Disease, Focal Onset"
A2M,"Alzheimer Disease, Early Onset"
A2M,Hepatic Form of Wilson Disease
A2M,Acute Kidney Insufficiency
A2M,Liver carcinoma
A2M,Acute kidney injury
A2M,alpha-2-Macroglobulin Deficiency
A2ML1,Noonan Syndrome
A2ML1,Otitis Media
A2ML1,LEOPARD Syndrome
A2ML1,Costello syndrome (disorder)
A2ML1,Cardio-facio-cutaneous syndrome
A2ML1,Noonan syndrome-like disorder with loose anagen hair
A2ML1,Noonan-Like Syndrome With Loose Anagen Hair
A4GALT,Burkitt Lymphoma
A4GALT,African Burkitt's lymphoma
A4GALT,Burkitt Leukemia
AAAS,Prostatic Neoplasms
AAAS,Glucocorticoid deficiency with achalasia
AAAS,Malignant neoplasm of prostate
AADAC,"Liver Cirrhosis, Experimental"
AADAT,"Liver Cirrhosis, Experimental"
AADAT,Liver carcinoma
AAGAB,Punctate keratosis
AAGAB,Meleda Disease
AAGAB,Keratosis palmoplantaris papulosa
AAGAB,"Keratoderma, Palmoplantar"
AANAT,"Depression, Bipolar"
AANAT,Mental Depression
AANAT,Depressive disorder
AANAT,Delayed Sleep Phase Syndrome
AANAT,Nonorganic Sleep Wake Cycle Disorders
AANAT,Advanced Sleep Phase Syndrome
