gene,module
A2M,IL6_JAK_STAT3_SIGNALING
A2M,COAGULATION
AAAS,DNA_REPAIR
AADAT,FATTY_ACID_METABOLISM
AARS,ALLOGRAFT_REJECTION
ABAT,ESTROGEN_RESPONSE_EARLY
ABAT,P53_PATHWAY
ABCA1,TNFA_SIGNALING_VIA_NFKB
ABCA1,ADIPOGENESIS
ABCA1,PROTEIN_SECRETION
ABCA1,INFLAMMATORY_RESPONSE
ABCA1,BILE_ACID_METABOLISM
ABCA2,CHOLESTEROL_HOMEOSTASIS
ABCA2,BILE_ACID_METABOLISM
ABCA3,ESTROGEN_RESPONSE_EARLY
ABCA3,ESTROGEN_RESPONSE_LATE
ABCA3,BILE_ACID_METABOLISM
ABCA4,BILE_ACID_METABOLISM
ABCA5,BILE_ACID_METABOLISM
ABCB1,UV_RESPONSE_UP
ABCB1,IL2_STAT5_SIGNALING
ABCB1,PEROXISOME
ABCB1,KRAS_SIGNALING_UP
ABCB11,KRAS_SIGNALING_DN
ABCB4,PEROXISOME
ABCB6,GLYCOLYSIS
ABCB6,HEME_METABOLISM
ABCB7,OXIDATIVE_PHOSPHORYLATION
ABCB8,ADIPOGENESIS
ABCB9,PEROXISOME
ABCC1,REACTIVE_OXIGEN_SPECIES_PATHWAY
ABCC1,UV_RESPONSE_DN
ABCC2,XENOBIOTIC_METABOLISM
ABCC3,XENOBIOTIC_METABOLISM
ABCC5,P53_PATHWAY
ABCC5,PEROXISOME
ABCC8,PEROXISOME
ABCC8,PANCREAS_BETA_CELLS
ABCD1,BILE_ACID_METABOLISM
ABCD1,PEROXISOME
ABCD2,XENOBIOTIC_METABOLISM
ABCD2,BILE_ACID_METABOLISM
ABCD2,PEROXISOME
ABCD3,BILE_ACID_METABOLISM
ABCD3,PEROXISOME
ABCE1,MYC_TARGETS_V1
ABCE1,ALLOGRAFT_REJECTION
ABCF2,MTORC1_SIGNALING
ABCG2,HEME_METABOLISM
ABCG4,BILE_ACID_METABOLISM
ABCG4,KRAS_SIGNALING_DN
ABCG8,BILE_ACID_METABOLISM
ABHD4,P53_PATHWAY
ABHD6,XENOBIOTIC_METABOLISM
ABI1,MITOTIC_SPINDLE
ABI1,INFLAMMATORY_RESPONSE
ABI1,ALLOGRAFT_REJECTION
ABI3BP,EPITHELIAL_MESENCHYMAL_TRANSITION
ABL1,MITOTIC_SPINDLE
ABL1,G2M_CHECKPOINT
ABLIM1,ESTROGEN_RESPONSE_EARLY
ABLIM1,MYOGENESIS
ABR,MITOTIC_SPINDLE
ACAA1,FATTY_ACID_METABOLISM
ACAA1,OXIDATIVE_PHOSPHORYLATION
ACAA1,UV_RESPONSE_UP
ACAA1,PEROXISOME
ACAA2,ADIPOGENESIS
ACAA2,FATTY_ACID_METABOLISM
ACAA2,OXIDATIVE_PHOSPHORYLATION
ACACA,PI3K_AKT_MTOR_SIGNALING
ACACA,MTORC1_SIGNALING
ACADL,ADIPOGENESIS
ACADL,FATTY_ACID_METABOLISM
ACADM,ADIPOGENESIS
ACADM,FATTY_ACID_METABOLISM
ACADM,OXIDATIVE_PHOSPHORYLATION
ACADS,ADIPOGENESIS
ACADS,FATTY_ACID_METABOLISM
ACADSB,OXIDATIVE_PHOSPHORYLATION
ACADVL,FATTY_ACID_METABOLISM
ACADVL,OXIDATIVE_PHOSPHORYLATION
ACAT1,OXIDATIVE_PHOSPHORYLATION
ACAT2,CHOLESTEROL_HOMEOSTASIS
ACAT2,FATTY_ACID_METABOLISM
ACE,SPERMATOGENESIS
ACE,KRAS_SIGNALING_UP
ACHE,MYOGENESIS
ACHE,HEDGEHOG_SIGNALING
ACHE,ALLOGRAFT_REJECTION
ACKR1,HEME_METABOLISM
ACKR3,TNFA_SIGNALING_VIA_NFKB
ACKR3,HYPOXIA
ACLY,ADIPOGENESIS
ACLY,MTORC1_SIGNALING
ACO2,ADIPOGENESIS
ACO2,XENOBIOTIC_METABOLISM
ACO2,FATTY_ACID_METABOLISM
ACO2,OXIDATIVE_PHOSPHORYLATION
ACOT2,FATTY_ACID_METABOLISM
ACOT8,FATTY_ACID_METABOLISM
ACOT8,PEROXISOME
ACOX1,ADIPOGENESIS
ACOX1,XENOBIOTIC_METABOLISM
ACOX1,FATTY_ACID_METABOLISM
ACOX1,PEROXISOME
ACOX2,ESTROGEN_RESPONSE_LATE
ACOX2,XENOBIOTIC_METABOLISM
ACOX2,COAGULATION
ACOX3,XENOBIOTIC_METABOLISM
ACP1,MYC_TARGETS_V1
ACP1,XENOBIOTIC_METABOLISM
ACP2,XENOBIOTIC_METABOLISM
ACP5,HEME_METABOLISM
ACRV1,SPERMATOGENESIS
ACSL1,MYOGENESIS
ACSL1,FATTY_ACID_METABOLISM
ACSL1,BILE_ACID_METABOLISM
ACSL1,PEROXISOME
ACSL3,ANDROGEN_RESPONSE
ACSL3,MTORC1_SIGNALING
ACSL4,FATTY_ACID_METABOLISM
ACSL4,PEROXISOME
ACSL5,FATTY_ACID_METABOLISM
ACSL5,BILE_ACID_METABOLISM
ACSL5,PEROXISOME
ACSL6,HEME_METABOLISM
ACSM1,XENOBIOTIC_METABOLISM
ACSM3,FATTY_ACID_METABOLISM
ACSS1,FATTY_ACID_METABOLISM
ACSS2,CHOLESTEROL_HOMEOSTASIS
ACTA1,MYOGENESIS
ACTA1,APICAL_JUNCTION
ACTA2,EPITHELIAL_MESENCHYMAL_TRANSITION
ACTB,APICAL_JUNCTION
ACTC1,MYOGENESIS
ACTC1,APICAL_JUNCTION
ACTC1,KRAS_SIGNALING_DN
ACTG1,CHOLESTEROL_HOMEOSTASIS
ACTG1,APICAL_JUNCTION
ACTG2,APICAL_JUNCTION
ACTN1,ANDROGEN_RESPONSE
ACTN1,APICAL_JUNCTION
ACTN2,MYOGENESIS
ACTN2,APICAL_JUNCTION
ACTN2,COMPLEMENT
ACTN3,MYOGENESIS
ACTN3,APICAL_JUNCTION
ACTN4,MITOTIC_SPINDLE
ACTN4,APICAL_JUNCTION
ACTR2,PI3K_AKT_MTOR_SIGNALING
ACTR2,MTORC1_SIGNALING
ACTR3,PI3K_AKT_MTOR_SIGNALING
ACTR3,MTORC1_SIGNALING
ACVR1,TGF_BETA_SIGNALING
ACVR1B,IL6_JAK_STAT3_SIGNALING
ACVR1B,INFLAMMATORY_RESPONSE
ACVR1B,P53_PATHWAY
ACVR2A,INFLAMMATORY_RESPONSE
ACVR2A,UV_RESPONSE_DN
ACVR2A,ALLOGRAFT_REJECTION
ACVRL1,IL6_JAK_STAT3_SIGNALING
ADA,DNA_REPAIR
ADA,P53_PATHWAY
ADAM10,PROTEIN_SECRETION
ADAM10,APICAL_SURFACE
ADAM12,MYOGENESIS
ADAM12,EPITHELIAL_MESENCHYMAL_TRANSITION
ADAM15,APICAL_JUNCTION
ADAM17,WNT_BETA_CATENIN_SIGNALING
ADAM17,KRAS_SIGNALING_UP
ADAM19,IL2_STAT5_SIGNALING
ADAM2,SPERMATOGENESIS
ADAM23,APICAL_JUNCTION
