gene,module
A1BG,ME 8
A2M,ME 8
AAAS,ME 2
AACS,ME 13
AAGAB,ME 2
AAK1,ME 39
AAMP,ME 3
AAR2,ME 3
AARS,ME 3
AARS2,ME 40
AARSD1,ME 3
AASDHPPT,ME 1
AATF,ME 34
ABAT,ME 1
ABCB1,ME 29
ABCB10,ME 37
ABCB7,ME 1
ABCC1,ME 1
ABCD1,ME 47
ABCD3,ME 10
ABCE1,ME 3
ABCF1,ME 25
ABCF2,ME 14
ABCF3,ME 1
ABHD12,ME 10
ABHD16A,ME 1
ABHD5,ME 35
ABHD6,ME 5
ABI1,ME 7
ABI3,ME 11
ABLIM1,ME 6
ABLIM1,ME 16
ABR,ME 10
ABT1,ME 1
ACAA1,ME 42
ACAA2,ME 5
ACAA2,ME 2
ACAD10,ME 2
ACAD8,ME 12
ACAD9,ME 45
ACADS,ME 12
ACADSB,ME 1
ACADVL,ME 13
ACAP1,ME 21
ACAP2,ME 10
ACAT1,ME 3
ACAT2,ME 4
ACBD3,ME 38
ACD,ME 21
ACIN1,ME 4
ACLY,ME 41
ACO1,ME 31
ACO2,ME 3
ACOT11,ME 7
ACOT13,ME 1
ACOT2,ME 22
ACOT7,ME 18
ACOT8,ME 9
ACOX1,ME 13
ACOX3,ME 3
ACP1,ME 4
ACP2,ME 26
ACP5,ME 9
ACPP,ME 7
ACSF3,ME 27
ACSF3,ME 1
ACSL1,ME 5
ACSL1,ME 5
ACSL3,ME 2
ACSL4,ME 7
ACSL5,ME 12
ACSL6,ME 1
ACSM3,ME 3
ACSS1,ME 4
ACSS2,ME 5
ACTB,ME 7
ACTB,ME 7
ACTG1,ME 7
ACTL6A,ME 2
ACTN1,ME 20
ACTN1,ME 7
ACTN1,ME 26
ACTN2,ME 8
ACTN4,ME 5
ACTN4,ME 24
ACTR10,ME 10
ACTR1A,ME 42
ACTR1B,ME 12
ACTR2,ME 10
ACTR3,ME 10
ACTR8,ME 1
ACVR1,ME 6
ACY1,ME 3
ACY3,ME 28
ACYP1,ME 2
ADA,ME 39
ADAM10,ME 26
ADAM15,ME 5
ADAM17,ME 2
ADAM28,ME 15
ADAM8,ME 32
ADAM9,ME 5
ADAMTS13,ME 20
ADAMTS2,ME 7
ADAMTSL4,ME 8
ADAP1,ME 24
ADAR,ME 2
ADAR,ME 4
ADARB1,ME 16
ADCK3,ME 1
ADCK4,ME 11
ADCY7,ME 46
ADD1,ME 16
ADD3,ME 16
ADH5,ME 4
ADI1,ME 18
ADIPOQ,ME 8
ADK,ME 3
ADNP,ME 4
ADPGK,ME 13
ADPRHL2,ME 12
