gene,module
44256,isolated
44257,isolated
44258,isolated
44260,isolated
44261,isolated
44266,isolated
A4GALT,sphingolipid_metabolism
A4GALT,glycosphingolipid_biosynthesis_globo_series
A4GNT,o_glycan_metabolism
A4GNT,sphingolipid_metabolism
A4GNT,glycosphingolipid_metabolism
AAAS,transport_reactions
AACS,butanoate_metabolism
AACS,cholesterol_metabolism
AACT,protein_assembly
AADAT,alanine_aspartate_and_glutamate_metabolism
AADAT,lysine_metabolism
AADAT,tryptophan_metabolism
AADAT,phenylalanine_tyrosine_and_tryptophan_biosynthesis
AAK1,isolated
AANAT,serotonin_and_melatonin_biosynthesis
AARS,aminoacyl_trna_biosynthesis
AASDH,arachidonic_acid_metabolism
AASDH,vitamin_e_metabolism
AASDHPPT,pantothenate_and_coa_biosynthesis
AASS,lysine_metabolism
ABAT,alanine_aspartate_and_glutamate_metabolism
ABAT,valine_leucine_and_isoleucine_metabolism
ABAT,beta_alanine_metabolism
ABAT,transport_reactions
ABCA1,transport_reactions
ABCA3,transport_reactions
ABCA4,transport_reactions
ABCB1,transport_reactions
ABCB1,drug_metabolism
ABCB11,bile_acid_recycling
ABCB11,transport_reactions
ABCB11,bile_acid_biosynthesis
ABCB11,drug_metabolism
ABCB4,transport_reactions
ABCB6,transport_reactions
ABCC1,bile_acid_recycling
ABCC1,transport_reactions
ABCC11,bile_acid_recycling
ABCC11,transport_reactions
ABCC11,bile_acid_biosynthesis
ABCC2,bile_acid_recycling
ABCC2,transport_reactions
ABCC2,drug_metabolism
ABCC3,bile_acid_recycling
ABCC3,transport_reactions
ABCC3,bile_acid_biosynthesis
ABCC3,drug_metabolism
ABCC5,transport_reactions
ABCC8,transport_reactions
ABCC9,transport_reactions
ABCD1,bile_acid_biosynthesis
ABCD1,transport_reactions
ABCD2,transport_reactions
ABCD3,transport_reactions
ABCG1,transport_reactions
ABCG2,transport_reactions
ABCG2,drug_metabolism
ABCG5,transport_reactions
ABCG8,transport_reactions
ABHD12,acylglycerides_metabolism
ABHD12,pool_reactions
ABHD12,transport_reactions
ABHD5,glycerolipid_metabolism
ABHD5,glycerophospholipid_metabolism
ABHD6,acylglycerides_metabolism
ABHD6,pool_reactions
ABHD6,transport_reactions
ABL1,protein_modification
ABL2,protein_modification
ABO,glycosphingolipid_biosynthesis_lacto_and_neolacto_series
ABO,blood_group_biosynthesis
ACAA1,omega_3_fatty_acid_metabolism
ACAA1,omega_6_fatty_acid_metabolism
ACAA1,arachidonic_acid_metabolism
ACAA1,leukotriene_metabolism
ACAA1,beta_oxidation_of_even_chain_fatty_acids_peroxisomal
ACAA1,beta_oxidation_of_unsaturated_fatty_acids_n_9_peroxisomal
ACAA1,beta_oxidation_of_phytanic_acid_peroxisomal
ACAA1,beta_oxidation_of_di_unsaturated_fatty_acids_n_6_peroxisomal
ACAA1,beta_oxidation_of_even_chain_fatty_acids_mitochondrial
ACAA1,beta_oxidation_of_unsaturated_fatty_acids_n_7_peroxisomal
ACAA1,steroid_metabolism
ACAA1,bile_acid_biosynthesis
ACAA1,transport_reactions
ACAA1,vitamin_e_metabolism
ACAA1,fatty_acid_oxidation
ACAA1,miscellaneous
ACAA1,drug_metabolism
ACAA2,valine_leucine_and_isoleucine_metabolism
ACAA2,omega_6_fatty_acid_metabolism
ACAA2,arachidonic_acid_metabolism
ACAA2,leukotriene_metabolism
ACAA2,beta_oxidation_of_even_chain_fatty_acids_mitochondrial
