FeatureID,FeatureName,low Log2 Fold Change,high Log2 Fold Change,high P-Value,low Average,low P-Value,high Average
,,,,,,,
ENSMUSG00000052974,Cyp2f2,-2.545196705,4.148383415,2.39E-120,0.45253467,3.33E-10,3.649288467
,,,,,,,
ENSMUSG00000028001,Fga,-2.578840277,3.998126522,1.39E-115,2.928869935,4.80E-11,24.07093454
,,,,,,,
ENSMUSG00000034926,Dhcr24,-2.322020982,3.870266961,1.63E-108,0.29055499,6.04E-09,2.000851393
,,,,,,,
ENSMUSG00000003617,Cp,-2.929327915,3.795596685,1.73E-106,0.683213904,2.54E-13,7.116368911
,,,,,,,
ENSMUSG00000037942,Crp,-1.939008718,3.645159093,1.18E-99,0.61955652,3.39E-07,3.262178248
,,,,,,,
ENSMUSG00000021091,Serpina3n,-1.844465556,3.644408213,2.37E-99,0.722290714,1.09E-06,3.565112725
,,,,,,,
ENSMUSG00000025991,Cps1,-1.925217182,3.619000972,6.08E-99,0.947927778,3.77E-07,4.939310358
,,,,,,,
ENSMUSG00000079057,Cyp4v3,-1.757546694,3.501624176,1.77E-90,0.218704082,6.82E-06,1.015455131
,,,,,,,
ENSMUSG00000026193,Fn1,-2.662989205,3.480620504,4.87E-93,0.510519614,4.80E-11,4.393177269
,,,,,,,
ENSMUSG00000021135,Slc10a1,-1.567956018,3.454546017,4.41E-91,0.400222167,5.00E-05,1.629179759
,,,,,,,
ENSMUSG00000051716,Apon,-1.78563202,3.422115129,1.93E-90,0.557789949,4.11E-06,2.629141752
,,,,,,,
ENSMUSG00000012428,Steap4,-1.9864027,3.3964193,3.95E-88,0.453164942,4.87E-07,2.448024795
,,,,,,,
ENSMUSG00000021922,Itih4,-2.092324981,3.358553427,4.92E-88,1.391008381,4.41E-08,8.061013858
,,,,,,,
ENSMUSG00000022149,C9,-1.786123832,3.344918255,3.12E-87,0.576698083,2.07E-06,2.712553748
,,,,,,,
ENSMUSG00000021364,Elovl2,-1.471857089,3.341715864,3.02E-85,0.276058754,0.0001486,1.049878263
,,,,,,,
ENSMUSG00000025130,P4hb,-2.062167856,3.316091598,2.28E-86,0.562832118,1.49E-07,3.192895557
,,,,,,,
ENSMUSG00000034528,Hsd17b13,-1.558163413,3.312758648,3.06E-84,0.325219902,6.02E-05,1.309770186
,,,,,,,
ENSMUSG00000020122,Egfr,-2.049265748,3.300938141,1.46E-84,0.287403635,2.08E-07,1.617014373
,,,,,,,
ENSMUSG00000058207,Serpina3k,-1.520682951,3.292158135,3.00E-86,11.63480504,3.93E-05,45.56542582
,,,,,,,
ENSMUSG00000026365,Cfh,-2.0638276,3.286121179,4.52E-85,0.75947671,6.27E-08,4.307855908
,,,,,,,
ENSMUSG00000035031,C8a,-1.952827645,3.280534396,2.89E-84,0.380053491,5.98E-07,1.999651221
,,,,,,,
ENSMUSG00000058952,Cfi,-1.5710438,3.235107315,3.11E-82,0.417869758,4.79E-05,1.692570694
,,,,,,,
ENSMUSG00000003053,Cyp2c29,-1.576940633,3.184421878,5.26E-77,0.393289184,6.90E-05,1.596720545
,,,,,,,
ENSMUSG00000052520,Cyp2j5,-1.394081521,3.159284364,2.09E-78,0.315765835,0.000324984,1.131871874
,,,,,,,
ENSMUSG00000059481,Plg,-1.869078111,3.158451595,6.94E-80,0.690146886,7.45E-07,3.412636251
,,,,,,,
ENSMUSG00000026405,C4bp,-1.477330585,3.158355204,5.33E-80,0.91011151,6.92E-05,3.44716849
,,,,,,,
ENSMUSG00000033684,Qsox1,-1.975440085,3.158197095,2.16E-79,0.35736373,4.59E-07,1.90161894
,,,,,,,
ENSMUSG00000020609,Apob,-1.642278251,3.149052112,3.47E-80,2.052793066,9.95E-06,8.690395283
,,,,,,,
ENSMUSG00000001435,Col18a1,-2.060472718,3.136354544,1.35E-77,0.214292184,1.90E-07,1.208901134
,,,,,,,
ENSMUSG00000033898,Cfhr2,-1.160226621,3.135192578,1.11E-78,0.769561048,0.001935103,2.350428941
,,,,,,,
ENSMUSG00000029368,Alb,-1.530743873,3.101956116,4.50E-78,29.09898774,3.69E-05,113.9717729
,,,,,,,
ENSMUSG00000060613,Cyp2c70,-1.349400614,3.097486838,2.05E-76,0.44118979,0.000510602,1.530001859
,,,,,,,
ENSMUSG00000056035,Cyp3a11,-1.283238168,3.097052801,4.08E-76,1.248567106,0.000640595,4.136613098
,,,,,,,
ENSMUSG00000046352,Gjb2,-1.166486406,3.052539233,6.18E-75,0.589933776,0.001897187,1.804241299
,,,,,,,
ENSMUSG00000010064,Slc38a3,-1.938506593,3.044351246,1.19E-74,0.334043698,7.38E-07,1.726120973
,,,,,,,
ENSMUSG00000022464,Slc38a4,-1.281683332,3.040450054,1.22E-74,0.543923984,0.000952983,1.797422137
,,,,,,,
ENSMUSG00000023224,Serping1,-1.607000995,3.031998558,1.97E-74,0.548335882,3.17E-05,2.258233864
,,,,,,,
ENSMUSG00000024164,C3,-1.873260284,3.024352621,1.07E-74,2.307422602,6.82E-07,11.37741809
,,,,,,,
ENSMUSG00000054827,Cyp2c50,-1.227482979,3.017993696,8.35E-72,0.480896871,0.001935103,1.530874712
,,,,,,,
ENSMUSG00000032018,Sc5d,-1.111751453,3.017403045,3.38E-72,0.360515086,0.005116245,1.061879989
,,,,,,,
ENSMUSG00000033831,Fgb,-1.593680548,3.017154324,1.28E-74,6.724992944,1.80E-05,27.40195906
,,,,,,,
ENSMUSG00000030895,Hpx,-1.449720301,3.008922959,5.18E-74,9.77739602,9.37E-05,36.11886724
,,,,,,,
ENSMUSG00000039519,Cyp7b1,-1.323646051,2.98766672,1.23E-71,0.408415691,0.000701362,1.386090253
,,,,,,,
ENSMUSG00000006529,Itih1,-2.187939112,2.956862987,1.54E-70,0.190972152,3.94E-08,1.167658839
,,,,,,,
ENSMUSG00000033860,Fgg,-1.221322473,2.95277329,3.82E-72,7.098743723,0.001002247,22.41824231
,,,,,,,
ENSMUSG00000038224,Serpinf2,-1.391326752,2.920407591,1.11E-69,0.464509822,0.000325423,1.645491195
,,,,,,,
ENSMUSG00000030359,Pzp,-1.659112851,2.919155843,2.87E-70,0.934692084,9.15E-06,3.9680434
,,,,,,,
ENSMUSG00000030236,Slco1b2,-1.832594321,2.914954814,1.31E-69,0.736156678,1.29E-06,3.516887607
,,,,,,,
ENSMUSG00000035540,Gc,-1.153666881,2.907389768,1.10E-70,4.498875317,0.00189596,13.54847578
,,,,,,,
ENSMUSG00000003814,Calr,-1.657198221,2.888354437,2.46E-69,0.918305035,8.96E-06,3.888341029
,,,,,,,
ENSMUSG00000022037,Clu,-1.659143271,2.877429196,4.89E-69,1.443320885,8.58E-06,6.115097638
,,,,,,,
ENSMUSG00000027249,F2,-1.648770451,2.851287913,7.73E-68,0.801074605,9.97E-06,3.367466118
,,,,,,,
ENSMUSG00000069922,Ces3a,-2.038561818,2.846571838,2.29E-67,0.466400635,2.10E-07,2.557949695
,,,,,,,
ENSMUSG00000064373,Selenop,-1.363315698,2.844392121,4.04E-68,5.971818945,0.00022358,20.66397184
,,,,,,,
ENSMUSG00000047631,Apof,-1.087672189,2.831261826,6.32E-67,0.891833647,0.00372787,2.56182298
,,,,,,,
ENSMUSG00000037095,Lrg1,-1.250411182,2.816762327,1.11E-66,2.335784803,0.000764006,7.480184871
,,,,,,,
ENSMUSG00000022877,Hrg,-1.688510596,2.809790809,5.83E-66,0.505477445,1.25E-05,2.180004431
,,,,,,,
ENSMUSG00000078686,Mup9,-1.083875315,2.795510762,5.77E-62,0.476484973,0.007842242,1.363832506
,,,,,,,
ENSMUSG00000054630,Ugt2b5,-1.389590134,2.7900048,9.76E-65,0.418500029,0.000327068,1.47250268
,,,,,,,
ENSMUSG00000017009,Sdc4,-1.375669853,2.788724953,9.06E-65,0.451274128,0.00037022,1.57266254
,,,,,,,
ENSMUSG00000022868,Ahsg,-1.042918786,2.784713797,7.48E-66,5.052883639,0.005309876,14.04611098
,,,,,,,
ENSMUSG00000032554,Trf,-1.070640968,2.77821614,1.20E-65,11.74321167,0.004114044,33.24669054
,,,,,,,
ENSMUSG00000037254,Itih2,-1.245576202,2.777309538,6.48E-64,0.393919455,0.001408696,1.256744378
,,,,,,,
ENSMUSG00000016194,Hsd11b1,-0.847233729,2.762655163,1.28E-63,0.596866759,0.02964752,1.454663751
,,,,,,,
ENSMUSG00000032079,Apoa5,-1.49173139,2.739853561,1.07E-63,1.045619803,5.83E-05,3.930074303
,,,,,,,
ENSMUSG00000061947,Serpina10,-0.923990498,2.713469411,3.05E-61,0.577958625,0.016906277,1.479594609
,,,,,,,
ENSMUSG00000020368,Canx,-1.699663033,2.708946201,1.12E-61,0.357994001,1.17E-05,1.549150067
,,,,,,,
ENSMUSG00000026417,Pigr,-0.990198383,2.683400571,1.99E-61,1.084696613,0.008815767,2.897489436
,,,,,,,
ENSMUSG00000021876,Rnase4,-0.757047904,2.676212761,4.60E-61,1.888922573,0.055226351,4.312929365
,,,,,,,
ENSMUSG00000059908,Mug1,-1.893743498,2.672290707,5.26E-61,0.760106981,5.36E-07,3.74388389
,,,,,,,
ENSMUSG00000064225,Paqr9,-1.003387339,2.67162286,3.10E-60,0.617035435,0.008334991,1.662675485
,,,,,,,
ENSMUSG00000079012,Serpina3m,-0.850943647,2.650050587,4.19E-59,0.500435276,0.039326124,1.216265829
,,,,,,,
ENSMUSG00000026874,Hc,-1.728294882,2.646875353,2.80E-59,0.391398371,8.85E-06,1.721483943
,,,,,,,
ENSMUSG00000020048,Hsp90b1,-2.171635687,2.632657292,1.55E-59,0.638464653,1.46E-08,3.794891225
,,,,,,,
ENSMUSG00000093930,Hmgcs1,-0.965271941,2.632530642,4.58E-58,0.639725196,0.012233843,1.676859343
,,,,,,,
ENSMUSG00000026864,Hspa5,-2.048484804,2.62194608,1.17E-58,0.554008322,2.00E-07,3.025907905
,,,,,,,
ENSMUSG00000061540,Orm2,-0.814136041,2.621944765,1.86E-57,0.726702611,0.039973132,1.720065557
,,,,,,,
ENSMUSG00000026542,Apcs,-0.674036419,2.621116053,2.70E-58,1.576308093,0.098975241,3.395779281
,,,,,,,
ENSMUSG00000026623,Lpgat1,-1.142064991,2.613523013,1.07E-57,0.375011322,0.003698699,1.106886462
,,,,,,,
ENSMUSG00000037071,Scd1,-0.507300533,2.601788431,2.89E-58,9.048172324,0.247327257,17.42099635
,,,,,,,
ENSMUSG00000025479,Cyp2e1,-0.861001928,2.600470806,8.99E-58,2.537471564,0.02653377,6.187107995
,,,,,,,
ENSMUSG00000022136,Dnajc3,-1.083726507,2.60001705,4.47E-57,0.392658913,0.006285113,1.113432858
,,,,,,,
ENSMUSG00000026715,Serpinc1,-1.087703639,2.599230985,3.01E-58,1.03301438,0.003698699,2.934149254
,,,,,,,
ENSMUSG00000033634,Nat8f2,-0.705020983,2.582479109,1.94E-57,1.093520408,0.078932713,2.400563424
,,,,,,,
ENSMUSG00000028356,Ambp,-1.056395998,2.575202626,1.31E-57,2.342087514,0.004851634,6.503298923
,,,,,,,
ENSMUSG00000031980,Agt,-1.126034237,2.563079951,3.14E-56,0.444341146,0.004165977,1.293676962
,,,,,,,
ENSMUSG00000068086,Cyp2d9,-1.240386006,2.539823875,1.36E-55,0.626489502,0.000915617,1.9670829
,,,,,,,
ENSMUSG00000022875,Kng1,-1.280223066,2.534756903,4.97E-56,1.324199641,0.000562598,4.267868339
,,,,,,,
ENSMUSG00000023010,Tmbim6,-1.093906556,2.523452022,1.66E-55,0.928389373,0.003484464,2.637542961
,,,,,,,
ENSMUSG00000018796,Acsl1,-1.149578176,2.519091993,7.32E-55,0.824394636,0.002194994,2.431276932
,,,,,,,
ENSMUSG00000001670,Tat,-0.83696397,2.515610619,4.67E-55,1.316636388,0.030930513,3.145488739
,,,,,,,
ENSMUSG00000026621,44256,-0.884927066,2.511772935,3.68E-54,0.472073075,0.03044668,1.1653676
,,,,,,,
ENSMUSG00000031770,Herpud1,-1.106401158,2.500557818,6.11E-54,0.459467653,0.005000339,1.315607389
,,,,,,,
ENSMUSG00000057400,Ces1c,-1.006204533,2.492391751,1.28E-53,0.587412692,0.008208783,1.571080494
,,,,,,,
ENSMUSG00000027359,Slc27a2,-1.022182868,2.47925635,6.35E-53,0.422281656,0.010393466,1.141255041
,,,,,,,
ENSMUSG00000020777,Acox1,-0.605561581,2.45476346,2.44E-53,2.943366171,0.14341034,6.00255418
,,,,,,,
ENSMUSG00000021999,Cpb2,-0.610934884,2.449561506,2.30E-52,0.966835911,0.142949489,1.979030073
,,,,,,,
ENSMUSG00000020571,Pdia6,-1.473099123,2.446547629,1.55E-51,0.281731195,0.000149031,1.031384695
,,,,,,,
ENSMUSG00000006522,Itih3,-1.617977671,2.443506133,3.10E-52,0.810528672,1.52E-05,3.268670091
,,,,,,,
ENSMUSG00000026822,Lcn2,-0.410557657,2.435074958,7.82E-52,2.918155326,0.391894679,5.22216922
,,,,,,,
ENSMUSG00000073418,C4b,-1.920818161,2.402303534,9.53E-51,0.522494766,9.10E-07,2.584462599
,,,,,,,
ENSMUSG00000027248,Pdia3,-1.295240441,2.398434714,2.96E-50,0.415978945,0.000876614,1.345338937
,,,,,,,
ENSMUSG00000037053,Azgp1,-0.601683661,2.38170986,1.33E-50,1.887662031,0.147206883,3.823804475
,,,,,,,
ENSMUSG00000028127,Abcd3,-0.622878301,2.381326819,2.19E-49,0.523125037,0.168528277,1.075627421
,,,,,,,
ENSMUSG00000017344,Vtn,-1.103149937,2.377374879,1.65E-50,2.198385697,0.003104057,6.230041442
,,,,,,,
ENSMUSG00000000049,Apoh,-0.8339857,2.373157608,2.41E-50,2.04901144,0.030806296,4.844878595
,,,,,,,
ENSMUSG00000027422,Rrbp1,-1.630197715,2.353680896,1.37E-48,0.337825325,2.72E-05,1.367924004
,,,,,,,
ENSMUSG00000072849,Serpina1e,-0.451271204,2.328733787,8.71E-49,19.9487115,0.321049804,36.43740396
,,,,,,,
ENSMUSG00000040134,Rdh7,-0.462152148,2.32094765,3.70E-48,1.168522673,0.308572239,2.149836456
,,,,,,,
ENSMUSG00000067235,H2-Q10,-0.423891253,2.304796884,5.04E-48,3.258501736,0.363990735,5.836984914
,,,,,,,
ENSMUSG00000094806,Cyp2d10,-1.064115951,2.292831042,1.63E-46,0.436777892,0.007311787,1.200772692
,,,,,,,
ENSMUSG00000032080,Apoa4,-0.749430351,2.289177467,4.92E-45,0.745610745,0.065923299,1.658256668
,,,,,,,
ENSMUSG00000022982,Sod1,-0.662557035,2.288034687,4.15E-47,1.265584427,0.102861035,2.654945463
,,,,,,,
ENSMUSG00000022445,Cyp2d26,-1.169841173,2.284795075,1.17E-46,0.617665706,0.00179316,1.821807462
,,,,,,,
ENSMUSG00000006736,Tspan31,-0.438591644,2.284538328,2.04E-46,0.733005323,0.347409398,1.32504511
,,,,,,,
ENSMUSG00000016534,Lamp2,-1.04906372,2.269046785,4.27E-46,0.627119773,0.005465808,1.703372247
,,,,,,,
ENSMUSG00000078672,Mup20,-0.082079185,2.233923061,1.69E-45,45.37384883,1,64.58194254
,,,,,,,
ENSMUSG00000060802,B2m,-1.082536423,2.223494933,3.07E-45,3.136859408,0.003698699,8.681994075
,,,,,,,
ENSMUSG00000002588,Pon1,-0.366718826,2.214888373,1.44E-43,0.728593425,0.47606315,1.250197982
,,,,,,,
ENSMUSG00000020484,Xbp1,-0.845071589,2.198327673,2.54E-43,0.497283921,0.040853559,1.172623189
,,,,,,,
ENSMUSG00000070704,Ugt2b36,-0.622862115,2.16369209,5.32E-42,0.51934341,0.169780235,1.053096908
,,,,,,,
ENSMUSG00000009614,Sardh,-0.483320638,2.158970986,4.50E-42,0.596236488,0.281753941,1.101322025
,,,,,,,
ENSMUSG00000071177,Serpina1d,-0.46318702,2.153760457,6.63E-43,4.01482709,0.302917754,7.308560188
,,,,,,,
ENSMUSG00000031594,Fgl1,-0.33128462,2.147111314,4.80E-42,1.9822027,0.541676981,3.305602675
,,,,,,,
ENSMUSG00000017493,Igfbp4,-0.408407008,2.117043692,1.48E-41,2.334524261,0.389204146,4.088169768
,,,,,,,
ENSMUSG00000021477,Ctsl,-1.281522312,2.114039817,7.61E-41,0.604430012,0.000602447,1.900636981
,,,,,,,
ENSMUSG00000028967,Errfi1,-0.529242963,2.095102777,1.07E-40,1.82022302,0.219371792,3.448532322
,,,,,,,
ENSMUSG00000006373,Pgrmc1,-0.045372021,2.088296957,2.01E-40,2.275278775,1,3.130977561
,,,,,,,
ENSMUSG00000027187,Cat,-0.180362269,2.087058841,1.09E-40,4.950149445,0.883639534,7.440579175
,,,,,,,
ENSMUSG00000053279,Aldh1a1,-0.145087755,2.078903071,4.14E-40,2.579069459,0.961474974,3.785999037
,,,,,,,
ENSMUSG00000027513,Pck1,-0.29736727,2.06488686,6.63E-40,4.471143387,0.605917841,7.247515045
,,,,,,,
ENSMUSG00000023367,Tmem176a,-0.491069561,2.061424221,1.16E-38,0.693298242,0.274627774,1.278183825
,,,,,,,
ENSMUSG00000031722,Hp,-0.193567555,2.060177084,1.20E-39,17.82091617,0.853098994,26.96542355
,,,,,,,
ENSMUSG00000020053,Igf1,-0.199871556,2.029048483,1.63E-38,2.045229813,0.838344254,3.101246013
,,,,,,,
ENSMUSG00000061232,H2-K1,-0.947543872,2.020521421,1.85E-38,2.562682409,0.012233843,6.385791114
,,,,,,,
ENSMUSG00000058258,Idi1,-0.290620025,2.019147394,1.16E-36,0.650439805,0.637753975,1.046932385
,,,,,,,
ENSMUSG00000031447,Lamp1,-0.735876616,2.013088103,1.28E-37,0.785948098,0.064711898,1.699444409
,,,,,,,
ENSMUSG00000073834,Mup11,-0.010970179,1.995321088,5.56E-37,12.80269744,1,17.1044781
,,,,,,,
ENSMUSG00000073988,Ttpa,-0.088269928,1.993711941,5.07E-37,1.194363789,1,1.678986922
,,,,,,,
ENSMUSG00000025347,Mettl7b,-0.099784752,1.985313569,1.44E-36,0.975029436,1,1.380307603
,,,,,,,
ENSMUSG00000024863,Mbl2,0.07112141,1.982686219,3.82E-36,0.841411957,1,1.065207741
,,,,,,,
ENSMUSG00000022587,Ly6e,-1.873281812,1.981668257,4.44E-36,0.31828692,1.86E-06,1.482704148
,,,,,,,
ENSMUSG00000035504,Reep6,-0.143505255,1.978097624,1.31E-36,1.188691349,0.963792977,1.730594344
,,,,,,,
