,scores,logfc
NFE2L2,0.9680643106136272,2.068770252
POR,0.9654227852297724,12.31125081
CAT,0.9649524033373008,153.1057831
FMO5,0.9642734573221672,33.12012011
DECR1,0.9620452578037556,8.005226855
CYB5A,0.9618864180041764,68.89223184
PPARA,0.9596243982300298,4.052676906
FABP1,0.9591788543498432,436.68406
BBOX1,0.9425923318483388,6.122304347
GSTA2,0.9397003136335076,0.685955748
CPT1A,0.939338945679152,17.49896142
HSD17B4,0.9382831891733232,17.31443613
GSTM3,0.9362331916906752,0.288144241
CRYZ,0.9306623705771148,3.772593247
SERPINA7,0.9293626408065764,3.688281204
GSTM2,0.9271401180240638,1.240437306
GSTM1,0.9262364701466114,40.55636759
GSTA4,0.9193032056420568,1.021846292
CARM1,0.9177730938781072,0.808081788
CPT2,0.9171509832310596,6.513376764
EHHADH,0.9160536705481052,15.01646506
ACSL1,0.913905955480483,57.10615432
SLC25A20,0.9107273451072952,5.632971333
CYP2E1,0.9089855679397956,84.32790896
GSTA3,0.9047693976073508,39.83032387
APOA4,0.901502711859234,60.75531043
GSTO1,0.89741320943346,6.84656035
SREBF1,0.8971454599236394,4.022410712
MGLL,0.89486804587265,11.1279618
PEX11A,0.8926493989631961,3.747086303
LPL,0.8898370457370384,0.920021687
ESRRA,0.8870333805124252,1.191007599
HNMT,0.8849068477984668,1.423776674
SLC27A1,0.8839857841872908,0.158386292
EPHX1,0.872879459829148,4.16877026
PNPLA2,0.8721780933841797,4.144194058
NR1I3,0.8682105276418117,3.923375153
RBP4,0.8674774911825796,220.3542313
LIPG,0.8639343880558642,0.281837331
EPHX2,0.862524022648567,35.39189978
APOE,0.8594233710646336,849.1663511
TXNIP,0.8524685862205449,2.18004959
MAF,0.848314592880351,1.424655581
FMO1,0.8434907431631927,5.133529947
ABCC3,0.8401522837531502,2.127140481
PLTP,0.8348654238572717,0.213596006
ACSM3,0.8320722797818587,3.975994264
MAP2K6,0.8300641227326736,0.149182378
FABP2,0.8286135525072916,9.926448892
CRAT,0.8248701331549877,1.690536006
SLC27A2,0.8226434914840126,24.63034104
PRDX6,0.8215642079698917,24.83037816
INMT,0.8206987482251755,16.59181926
CYP1A2,0.8176971623913181,11.65589758
ACADL,0.8064996616084417,5.573525215
CD36,0.8056762960954985,2.885500173
RORC,0.8036900203326206,0.790159009
ALAS1,0.7996923756922268,8.155046092
CYP7A1,0.7974562104793022,3.709441491
S100A10,0.7952619209963565,9.303731959
PRKCA,0.7879239042630815,0.425280864
ACSM5,0.7853101116515956,2.163218342
ACOT4,0.7828373911222587,1.866938943
ABCD1,0.7818820597713908,0.939901947
GPC1,0.7785164016073302,1.318340514
RETSAT,0.7772010788443957,18.44018361
ANGPTL3,0.7754323577530412,14.39535741
PEX3,0.7750679946373843,1.691883009
BAAT,0.7719319491300835,11.32828023
ALDH2,0.7719024736881618,50.83474515
ECI2,0.7693437737624448,8.143102002
ACOT1,0.7671784874753234,1.647031285
FAHD2A,0.7669755156545918,0.669706148
ACADM,0.7666200046572698,18.63693845
ACOT2,0.7662700518811818,0.542862773
ECI1,0.7635358832097603,5.603031691
HNF1A,0.7624047406837583,0.938845646
RERE,0.761326414543063,0.869776649
ALDH3A2,0.7581631497674981,7.430462476
SERPINA6,0.7579087945749345,3.869872117
CTF1,0.7572620295096454,0.216599888
RDH10,0.7528155716039953,1.391148164
SRXN1,0.7516508545865943,1.87595782
ACOX2,0.7439131623160702,8.194200079
RAP2A,0.7391598500546935,1.090392805
NR2F2,0.7387474661896716,2.886153864
HOGA1,0.7370710583516729,4.685584119
DECR2,0.7362036206750412,5.654255897
G0S2,0.734009872951365,12.67243325
PLA2G15,0.7297628123938044,0.450213178
ALDH1B1,0.7247412266893318,4.497171815
GPT,0.7216695414984734,8.382731318
HMGCS2,0.7199278280137171,84.07601011
PECR,0.7166034575904007,6.83499275
LGALS1,0.7106301617159545,1.149122435
HMGCL,0.7097985430041175,10.34712438
HIBADH,0.7086849956680558,18.07044246
HADHB,0.6927919357896953,10.20792381
TYSND1,0.6919408645207566,2.009141388
PDK2,0.6915259864419481,2.540600617
GHR,0.6903045550817061,22.90454213
ECH1,0.6844162585903485,10.42447727
BMF,0.6841564374956034,0.263071939
MTG1,0.6741710765800398,0.472404601
RDH16,0.6697308802971386,2.206512764
SRM,0.668717970022849,1.886546748
ACAA2,0.6666585844868382,31.67191746
ACOT12,0.6663681178231504,4.259613424
GK,0.661423224523641,9.390227653
GSTK1,0.6582488490951555,3.646153171
AFMID,0.6550587428335222,0.253557743
ACSS3,0.6545307693894518,0.7362992
DBT,0.6532128526816284,4.791510661
SLC2A1,0.648889916642478,0.268183392
MSRB2,0.6482754100480436,0.522547941
GAS1,0.6475638283992529,0.737917602
HADH,0.647469282107448,12.68176243
ABCD3,0.6452930819785708,19.9291252
IFNGR2,0.6448600696616331,0.999579757
ABAT,0.6409582872673057,10.83965168
PEX1,0.6373748625583759,1.196539522
STAP1,0.6361215732901758,0.343282684
ORMDL3,0.6353400290346736,3.411022915
PTK2B,0.6321268977444402,1.459901309
ACAT1,0.6312322954880649,13.44159238
DHDH,0.6309239662513649,8.113972437
CFD,0.6259496956160981,0.548063145
PEX26,0.6242332177579676,1.016738066
PDXK,0.6230178178622879,1.957442352
MSRA,0.6190098006515182,7.288398249
WFS1,0.6168278969744545,0.540790594
TANGO2,0.6149614333845675,1.768216756
ODC1,0.6060119246353999,3.418686367
AADAT,0.6055645151219136,5.199723764
PDK1,0.6054878660388752,1.451770698
PLIN5,0.6040908778712065,2.687636234
PHYH,0.6024384839846629,92.39412114
HSD17B6,0.5999829244543459,13.82217938
ANXA2,0.599580535474507,0.182088672
MADD,0.5943277220238521,0.434282144
NOX4,0.5921857756271982,3.387766784
NOTUM,0.5880835857803668,0.670891087
ARSA,0.582838455006084,1.36656478
BNIP3,0.5780974176595494,11.41209353
BCL6,0.5736882509590177,1.228422524
GLRX,0.5717130337734898,2.796719472
GNA11,0.5676265903625782,2.722591924
BDH1,0.5655723385528169,6.654213847
DPYS,0.5588603327234934,10.60980335
IVD,0.5518792593512297,4.930282387
SULT1E1,0.5494773013910004,0.188493074
FOXA1,0.5428279296234348,1.162598564
UGT2A3,0.5390504905502649,7.716370857
HPGD,0.5324688589493203,2.671393527
L3HYPDH,0.5314510313630547,1.225101622
MME,0.5277565765911234,1.106691799
SORD,0.5102171245509404,44.11013707
IDH2,0.5100525168179884,3.28249541
PPARG,0.5094360735029844,0.205652458
HIPK2,0.5059984222642678,1.181343515
PPARGC1B,0.5,0.297426595
TBX3,0.5,1.14547082
ABHD6,0.5,1.230220687
SH2B3,0.5,0.470848896
OAT,0.4916572443947291,37.81148823
CASP8,0.4908432583338571,2.203889715
TMSB4X,0.4887970343032765,0.368276468
SLC2A2,0.4864256945356496,13.70053716
SUCLG1,0.4856131923844228,11.84706466
AKR1D1,0.4820195533636844,7.360952411
AR,0.4802710714297987,1.027804665
HPD,0.474420513471133,57.91685354
GPCPD1,0.4679607047421592,4.486743367
PAH,0.4675160639555138,37.44601102
DCXR,0.4644923206843486,5.03831981
BIK,0.4617886422487953,0.28563126
PAPD7,0.4570676734018867,0.786817603
HSD3B2,0.4503917089096825,1.231595804
SMPD3,0.4491348052246446,0.425461195
SLC5A6,0.4434375448314441,0.616803155
USP2,0.4392103606918842,1.788789918
HYKK,0.43874475531231,5.721212973
CIDEC,0.4344035395254979,0.862229404
SLC2A5,0.432608848857091,0.463096204
PELI2,0.4295354564378284,1.213844466
NPC1,0.4290061896152416,3.943019873
PDPR,0.4237162630180359,0.322459634
SARDH,0.4231889195341897,22.03546598
GPT2,0.4231371097929199,18.65097802
CHPT1,0.4190438372229562,17.02240238
BRAP,0.4188022883631653,3.82367891
DAB2IP,0.4177875649229788,0.233279929
PLCB3,0.409471679568916,0.298665963
OLIG1,0.409275977171175,0.177844788
NR3C2,0.4034945977121559,0.467769249
FABP4,0.4025655874789104,0.166215365
ACY1,0.4018614320886193,0.515896731
SPRY4,0.3979172133609171,0.32538538
SMAD6,0.3967080544646276,0.156321337
RPS6KA1,0.3940380204564899,0.366571929
S100G,0.3856940989518316,0.259925001
NOTCH1,0.3807109780584123,0.267415639
EFNA5,0.3800542306840876,0.413568259
SIK2,0.3767079690740968,0.192923022
DHTKD1,0.3740848818580511,1.753249512
PGPEP1,0.3691732113457722,2.570512777
ETFDH,0.3670978305476259,5.074259384
ETNPPL,0.3669479710868391,4.118167229
GNS,0.3667149321012535,6.425903049
CHDH,0.3570861012961376,3.481396847
HEXB,0.3552260389325147,0.393494641
EGLN3,0.3497301280374691,0.568227786
TGFBR2,0.3438082607487881,0.879432781
SGK2,0.343786908498266,1.608862657
FGFRL1,0.3437743174463911,1.161865279
TBKBP1,0.3436371183703099,0.22903882
GANC,0.3422450987643641,0.618928919
SDHB,0.3413586710372434,5.971023763
TTC38,0.3360320381763236,3.116534501
PPCS,0.3343449485716332,1.452082885
RASGRP2,0.3333482995338091,0.750053098
WWTR1,0.3318726909778625,1.139453631
HGD,0.3312352561447478,14.4909399
KDSR,0.3300844218276804,1.798513769
CBR4,0.323270538043462,1.349208088
SRD5A1,0.3208889701798006,4.194881267
MAP4K2,0.3207812579586868,0.19171916
ADORA1,0.319527611744333,0.905496602
MED22,0.3194840098293802,0.675357166
PLCG1,0.3176863566793252,0.848546248
GLUL,0.3159092978778197,26.23390663
FOXP2,0.315623511050527,0.50900195
DCT,0.3135642956699691,0.581045241
HEXA,0.3118873689104963,1.189175977
ABCC2,0.3107018457734847,8.560716607
