,0,score,known
0,PTGS2,0.9812685653280864,0
1,HMOX1,0.9763528767045502,0
3,NOS2,0.9658626571619716,0
4,POR,0.9654227852297724,0
7,FMO5,0.9642734573221672,0
8,LTC4S,0.9625945426524496,0
10,CYB5A,0.9618864180041764,0
12,FABP1,0.9591788543498432,0
13,BLVRA,0.9588311635160296,0
15,SLC27A5,0.9558556567016095,0
17,VKORC1,0.9545472390702124,0
18,ALOX5,0.9529311510900124,0
20,GPX8,0.9508111683693624,0
21,CYP4A11,0.9475865683846276,0
23,IDO1,0.9455219060828616,0
28,BBOX1,0.9425923318483388,0
29,FABP9,0.9419810403733782,0
30,ARNT2,0.9418133158199355,0
31,GPX7,0.940538472851543,0
32,HPGDS,0.9399090795440702,0
33,GSTA2,0.9397003136335076,0
35,FHL2,0.9392760618980404,0
36,ENSG00000264813,0.9390173612316932,0
39,HSD17B4,0.9382831891733232,0
43,PRDX3,0.9368823870300532,0
45,GSTM3,0.9362331916906752,0
46,PTGS1,0.9358362991969068,0
47,ALOX15,0.9347425518798054,0
48,SOD3,0.932807052701495,0
49,CRYZ,0.9306623705771148,0
51,GPX5,0.92969981640342,0
52,SERPINA7,0.9293626408065764,0
53,STAT6,0.9289695699296304,0
54,PLA2G4A,0.9289619506579572,0
55,APOA2,0.9280158735118482,0
56,PLA2G1B,0.9276391891676372,0
57,TXN,0.9275542513214228,0
60,OTP,0.9268133502932115,0
61,LRP1,0.9267905991153051,0
63,NR1H3,0.9260210187852798,0
64,GPX3,0.9259881755554368,0
65,NR2F1,0.9255156695531424,0
66,GPX2,0.9246975517474624,0
67,ALOX15B,0.9244711011149712,0
68,RBP2,0.9242052052624152,0
69,IL12B,0.9234320383051704,0
73,TBXAS1,0.9199842903292648,0
74,UGT1A6,0.919782059238048,0
77,CCL3,0.9192974712997022,0
78,FOS,0.919262424622636,0
79,TXNRD1,0.9180443814046836,0
80,CARM1,0.9177730938781072,0
81,CYP1A1,0.9176034354195124,0
82,CPT2,0.9171509832310596,0
83,CHD9,0.9169809381829364,0
86,TXN2,0.916273402278867,0
87,EHHADH,0.9160536705481052,0
88,TMX1,0.914927504309814,0
90,GSR,0.9141515725531696,0
91,LIPC,0.9139590066526084,0
93,GSTO2,0.9131888465366634,0
94,CYP2C19,0.912618111774345,0
95,CYP2C8,0.9123971322489932,0
96,RBP1,0.9116199920956116,0
97,IL12RB1,0.9111290419207528,0
98,SLC25A20,0.9107273451072952,0
100,NR1I2,0.9085585673089258,0
101,GSTM4,0.9084048280385688,0
102,SCD,0.9081837905350528,0
103,SPPL2A,0.9072920048888032,0
104,SULT2A1,0.9059409145665568,0
107,GSTA3,0.9047693976073508,0
108,SIM1,0.9028056332205838,0
110,REN,0.9015588145866256,0
112,ME1,0.9014534447117304,0
114,CYP2J2,0.9002923917318574,0
115,PTGES,0.8997666389715251,0
116,GSS,0.8995344122852966,0
117,ALOX12,0.8987732664998491,0
120,GSTO1,0.89741320943346,0
122,SAT2,0.8957999569298998,0
123,NOS3,0.8948819417156009,0
124,MGLL,0.89486804587265,0
126,CPT1B,0.8947419823292129,0
127,CPT1C,0.8939308232543246,0
128,UGT1A9,0.8938498816744977,0
129,PEX11A,0.8926493989631961,0
130,PRDX5,0.8916288406451163,0
131,IL18BP,0.8913624748060877,0
132,SELE,0.8904294868571085,0
133,LPL,0.8898370457370384,0
134,CITED2,0.889675473780868,0
135,GSTT2B,0.8892742504419813,0
136,GPX4,0.8882332393303393,0
137,CES1,0.8881702488965201,0
138,ESRRA,0.8870333805124252,0
139,GPX6,0.8865652343417068,0
140,CYP2U1,0.8859190662695416,0
141,CREB1,0.88547972537647,0
142,TNFSF4,0.8853645860439264,0
144,CES2,0.8851812799965476,0
146,HNMT,0.8849068477984668,0
147,STRA6,0.8846658988699241,0
148,KL,0.8843307372203739,0
151,SLC27A1,0.8839857841872908,0
152,PLA2G2A,0.8838787337000104,0
153,CYP4F2,0.8836882754912762,0
154,OLAH,0.8831180508880223,0
155,IL1RAP,0.8828827769447845,0
157,RXRG,0.8821672880255743,0
158,DHRS4,0.881591995160705,0
159,IL2,0.8815405727324582,0
160,ELOVL1,0.8815111517620067,0
161,ACSL6,0.8814959102530469,0
163,IL12RB2,0.8808871196556717,0
164,ACSL5,0.8795745679678011,0
165,FADS2,0.879425364556122,0
167,ACSBG1,0.8782280683800024,0
169,PLIN2,0.877919693676717,0
170,LIPE,0.8776019222825507,0
171,CYP2C9,0.8769518355064242,0
172,RXRB,0.8769195901812814,0
173,GPR29,0.8758760991101112,0
174,EPO,0.8757797638707291,0
176,IL12A,0.8754819725057911,0
177,SAT1,0.874920385467479,0
178,MAPK9,0.8741749669370905,0
179,ESD,0.8734130532340032,0
180,EPHX1,0.872879459829148,0
181,HMOX2,0.8727847777879236,0
182,CD70,0.8723429548080479,0
184,LPA,0.8720886213762096,0
186,VEGFA,0.8718296723657991,0
187,SOX9,0.8716245135389464,0
188,CSF3,0.8710157041347742,0
190,ASMT,0.8705075691867079,0
192,APOC1,0.8688068679479677,0
193,TSLP,0.8687303432693965,0
194,NR1I3,0.8682105276418117,0
196,GGCX,0.867447540630537,0
197,MT-CO2,0.8671160416547395,0
198,CYP4F8,0.8662382845954255,0
199,PTGDS,0.86599504788734,0
202,LIPG,0.8639343880558642,0
204,PLA2G10,0.863066152632774,0
205,EPHX2,0.862524022648567,0
206,GUSB,0.8623489346856782,0
208,MGST3,0.8617285309532068,0
209,DGAT1,0.8610460805238965,0
210,PRDX2,0.8608877906478218,0
212,IL23R,0.8605130283902875,0
213,AHRR,0.8598095532895136,0
214,RDH8,0.859591538879511,0
216,ATF4,0.859131056110599,0
217,MAPK10,0.8580044419274826,0
218,CYP4F3,0.8579901004713741,0
219,DHRS3,0.8577729287489506,0
225,STAT3,0.856035305109225,0
226,MED1,0.8558157174240455,0
227,NCOA1,0.8553344484021963,0
228,SRA1,0.8551767260624625,0
229,FOXP3,0.8551120778034191,0
230,RELA,0.8541018109139411,0
232,IDO2,0.8536294853349615,0
233,PNLIPRP1,0.8535738300961007,0
234,IDE,0.8535021954046489,0
235,SDC2,0.8528664209351472,0
237,RGL1,0.851438570933605,0
238,TYRO3,0.8512597283229985,0
239,NFKBIA,0.8508864208285795,0
241,PLAT,0.8504551021466561,0
244,MGST2,0.8489136195321485,0
245,FABP3,0.8486169909099818,0
246,MAF,0.848314592880351,0
247,IRS1,0.8478610643168273,0
248,LCAT,0.8476776099191331,0
249,IL1R2,0.8473499409420664,0
250,STAT4,0.8463445137553566,0
251,EDN1,0.8462682082765516,0
252,MAP4K4,0.8462185887169945,0
253,MAOB,0.8461007487807923,0
254,NR5A1,0.8454099887392899,0
255,AOX1,0.8453835973853319,0
256,FABP6,0.8449762638384597,0
257,ITGAM,0.8439419468426699,0
258,CYP2C18,0.8437369875054758,0
259,FMO1,0.8434907431631927,0
260,IRAK4,0.8426504557890152,0
261,B3GAT2,0.84234223114325,0
262,JUNB,0.8422378312452143,0
263,APOC2,0.8420294604600106,0
264,CD27,0.8417212013206947,0
266,PAPPA2,0.8415812190027285,0
267,AKT1,0.8402127259940951,0
269,ABCC3,0.8401522837531502,0
271,ACSL3,0.8394087729217008,0
272,SDR16C5,0.8388766883434663,0
273,FADS1,0.8385800231779521,0
274,IRAK2,0.8383402877047856,0
276,TBX21,0.8376862071102456,0
277,TH,0.8372042251998347,0
278,GSTM5,0.8371136999212576,0
279,TYK2,0.8363056929562592,0
280,SELL,0.8363052358526606,0
281,IL5,0.8361760854693496,0
282,TIMP1,0.835833435261403,0
283,NAT1,0.8353280932571695,0
285,PLTP,0.8348654238572717,0
286,ELOVL5,0.8339277274238436,0
287,MINK1,0.8338550705147617,0
289,ACSM3,0.8320722797818587,0
290,IL9,0.8316922624067097,0
291,HAO1,0.8315876807819641,0
292,GGH,0.831283937847104,0
293,PNLIP,0.8310943552327417,0
294,PTGIS,0.8304014038001393,0
295,BCL2,0.8303253772424886,0
296,MAP2K6,0.8300641227326736,0
297,FABP2,0.8286135525072916,0
298,MAP3K1,0.8285553170562939,0
299,ALDH3B1,0.8282867747514133,0
300,CCL17,0.8281814441094749,0
302,ERF,0.8280585883360481,0
303,IL18RAP,0.8278637999723182,0
304,AANAT,0.8275354120961466,0
305,LEPR,0.8273690828652631,0
306,CYP3A4,0.8271656285114242,0
307,CSF1,0.8270049711025905,0
308,CBR3,0.8268793962683176,0
