0,score,known
PTGS2,0.9812685653280865,0
HMOX1,0.9763528767045502,0
NFE2L2,0.9680643106136271,1
NOS2,0.9658626571619716,0
POR,0.9654227852297725,0
CAT,0.9649524033373008,1
GSTP1,0.9644207642559752,1
FMO5,0.9642734573221671,0
LTC4S,0.9625945426524496,0
DECR1,0.9620452578037555,1
CYB5A,0.9618864180041765,0
PPARA,0.9596243982300298,1
FABP1,0.9591788543498431,0
BLVRA,0.9588311635160295,0
NQO1,0.956549459933609,1
SLC27A5,0.9558556567016095,0
IL1B,0.9554038276816514,1
VKORC1,0.9545472390702123,0
ALOX5,0.9529311510900124,0
IL13,0.9523451386937498,1
GPX8,0.9508111683693623,0
CYP4A11,0.9475865683846277,0
CCL2,0.9458654121183063,1
IDO1,0.9455219060828615,0
ARNT,0.9453383913508685,1
IL4,0.9445437104621163,1
SOD2,0.9443613602617209,1
TNF,0.9426872149315654,1
BBOX1,0.9425923318483387,0
FABP9,0.9419810403733782,0
ARNT2,0.9418133158199357,0
GPX7,0.940538472851543,0
HPGDS,0.9399090795440702,0
GSTA2,0.9397003136335075,0
CPT1A,0.9393389456791519,1
FHL2,0.9392760618980405,0
ENSG00000264813,0.9390173612316933,0
CYP2B6,0.9386263962697023,1
NR0B2,0.938330789761066,1
HSD17B4,0.9382831891733233,0
GPX1,0.9381372039014764,1
SOD1,0.9380398653142215,1
CRP,0.9372273781128606,1
PRDX3,0.9368823870300531,0
ALB,0.9362516288830877,1
GSTM3,0.9362331916906753,0
PTGS1,0.9358362991969068,0
ALOX15,0.9347425518798054,0
SOD3,0.932807052701495,0
CRYZ,0.9306623705771147,0
IL10,0.9305666902996866,1
GPX5,0.9296998164034201,0
SERPINA7,0.9293626408065763,0
STAT6,0.9289695699296305,0
PLA2G4A,0.9289619506579572,0
APOA2,0.9280158735118482,0
PLA2G1B,0.9276391891676372,0
TXN,0.9275542513214228,0
IL18,0.9275186340581641,1
GSTM2,0.9271401180240638,1
OTP,0.9268133502932117,0
LRP1,0.9267905991153053,0
GSTM1,0.9262364701466114,1
NR1H3,0.9260210187852798,0
GPX3,0.9259881755554369,0
NR2F1,0.9255156695531424,0
GPX2,0.9246975517474623,0
ALOX15B,0.9244711011149711,0
RBP2,0.9242052052624151,0
IL12B,0.9234320383051703,0
IL6,0.923098952240814,1
TLR4,0.9214607430634534,1
APOA1,0.9213737683249759,1
TBXAS1,0.9199842903292647,0
UGT1A6,0.9197820592380481,0
FAT1,0.919418209918143,1
GSTA4,0.9193032056420569,1
